ID_IBGE,Region,UF,State,Microregion,Mesoregion,City,Latitude,Longitude,Population
1101807,Norte,RO,Rondônia,Ji-Paraná,Leste Rondoniense,Vale do Paraíso,-10.4266959,-62.1300904,6490
1200013,Norte,AC,Acre,Rio Branco,Vale do Acre,Acrelândia,-10.0759167,-67.0526898,15721
1200054,Norte,AC,Acre,Brasiléia,Vale do Acre,Assis Brasil,-10.9409203,-69.5672108,7649
1200104,Norte,AC,Acre,Brasiléia,Vale do Acre,Brasiléia,-11.0010413,-68.7487894,27123
1200138,Norte,AC,Acre,Rio Branco,Vale do Acre,Bujari,-9.8309656,-67.9520886,10572
1200179,Norte,AC,Acre,Rio Branco,Vale do Acre,Capixaba,-10.5741345,-67.67597190000001,12280
1200203,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Cruzeiro do Sul,-7.630795599999999,-72.67038690000001,89760
1200252,Norte,AC,Acre,Brasiléia,Vale do Acre,Epitaciolândia,-11.0289439,-68.7411519,18979
1200302,Norte,AC,Acre,Tarauacá,Vale do Juruá,Feijó,-8.1648652,-70.3539579,34986
1200328,Norte,AC,Acre,Tarauacá,Vale do Juruá,Jordão,-9.1911406,-71.9481397,8628
1200336,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Mâncio Lima,-7.614591099999999,-72.905264,19643
1200344,Norte,AC,Acre,Sena Madureira,Vale do Acre,Manoel Urbano,-8.838861,-69.2620618,9701
1200351,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Marechal Thaumaturgo,-8.947979199999999,-72.7872614,19727
1200385,Norte,AC,Acre,Rio Branco,Vale do Acre,Plácido de Castro,-10.3239154,-67.1824196,20147
1200393,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Porto Walter,-8.2687722,-72.7444458,12497
1200401,Norte,AC,Acre,Rio Branco,Vale do Acre,Rio Branco,-9.9765362,-67.82207779999999,419452
1200427,Norte,AC,Acre,Cruzeiro do Sul,Vale do Juruá,Rodrigues Alves,-7.7380283,-72.6509379,19767
1200435,Norte,AC,Acre,Sena Madureira,Vale do Acre,Santa Rosa do Purus,-9.4354872,-70.4926109,6893
1200450,Norte,AC,Acre,Rio Branco,Vale do Acre,Senador Guiomard,-9.9765,-67.31913961038961,23446
1200500,Norte,AC,Acre,Sena Madureira,Vale do Acre,Sena Madureira,-9.0659556,-68.6571058,47168
1200609,Norte,AC,Acre,Tarauacá,Vale do Juruá,Tarauacá,-8.1602019,-70.7665368,43730
1200708,Norte,AC,Acre,Brasiléia,Vale do Acre,Xapuri,-10.6511174,-68.5017902,19866
1200807,Norte,AC,Acre,Rio Branco,Vale do Acre,Porto Acre,-9.5879722,-67.53307,19141
1300029,Norte,AM,Amazonas,Tefé,Centro Amazonense,Alvarães,-3.214786,-64.81431239999999,16396
1300060,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Amaturá,-3.3640509,-68.1994689,11934
1300086,Norte,AM,Amazonas,Coari,Centro Amazonense,Anamã,-3.5797356,-61.4049996,14292
1300102,Norte,AM,Amazonas,Coari,Centro Amazonense,Anori,-3.7435254,-61.6605203,21937
1300144,Norte,AM,Amazonas,Madeira,Sul Amazonense,Apuí,-7.1940195000000005,-59.88301920000001,22739
1300201,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Atalaia do Norte,-4.3658547,-70.19087420000001,20868
1300300,Norte,AM,Amazonas,Manaus,Centro Amazonense,Autazes,-3.5833283,-59.13015179999999,41005
1300409,Norte,AM,Amazonas,Rio Negro,Norte Amazonense,Barcelos,-0.9729214,-62.925635,27772
1300508,Norte,AM,Amazonas,Parintins,Centro Amazonense,Barreirinha,-2.7988630000000003,-57.067897,32919
1300607,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Benjamin Constant,-4.3782748,-70.0290603,44873
1300631,Norte,AM,Amazonas,Coari,Centro Amazonense,Beruri,-3.9007135,-61.3717319,20503
1300680,Norte,AM,Amazonas,Parintins,Centro Amazonense,Boa Vista do Ramos,-2.9716927,-57.586981900000005,20040
1300706,Norte,AM,Amazonas,Boca do Acre,Sul Amazonense,Boca do Acre,-8.755348699999999,-67.3930873,34958
1300805,Norte,AM,Amazonas,Madeira,Sul Amazonense,Borba,-4.393477799999999,-59.5947721,42328
1300839,Norte,AM,Amazonas,Coari,Centro Amazonense,Caapiranga,-3.3188884,-61.2096404,13482
1300904,Norte,AM,Amazonas,Purus,Sul Amazonense,Canutama,-6.5330019,-64.3834966,15981
1301001,Norte,AM,Amazonas,Juruá,Sudoeste Amazonense,Carauari,-4.8766426,-66.89614329999999,28719
1301100,Norte,AM,Amazonas,Manaus,Centro Amazonense,Careiro,-3.8185277,-60.3616505,38820
1301159,Norte,AM,Amazonas,Manaus,Centro Amazonense,Careiro da Várzea,-3.1970240000000003,-59.82591039999999,31459
1301209,Norte,AM,Amazonas,Coari,Centro Amazonense,Coari,-4.0885957,-63.1431166,86713
1301308,Norte,AM,Amazonas,Coari,Centro Amazonense,Codajás,-3.8413202000000006,-62.060344400000005,29691
1301407,Norte,AM,Amazonas,Juruá,Sudoeste Amazonense,Eirunepé,-6.656765400000001,-69.866161,36121
1301506,Norte,AM,Amazonas,Juruá,Sudoeste Amazonense,Envira,-7.437889,-70.028143,20748
1301605,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Fonte Boa,-2.55,-66.91321428571429,16409
1301654,Norte,AM,Amazonas,Juruá,Sudoeste Amazonense,Guajará,-7.545592699999999,-72.58327690000002,17193
1301704,Norte,AM,Amazonas,Madeira,Sul Amazonense,Humaitá,-7.5099404,-63.0248674,57195
1301803,Norte,AM,Amazonas,Juruá,Sudoeste Amazonense,Ipixuna,-7.047909,-71.693426,31172
1301852,Norte,AM,Amazonas,Manaus,Centro Amazonense,Iranduba,-3.2758203,-60.1867429,49718
1301902,Norte,AM,Amazonas,Itacoatiara,Centro Amazonense,Itacoatiara,-3.1477897999999995,-58.4461041,104046
1301951,Norte,AM,Amazonas,Juruá,Sudoeste Amazonense,Itamarati,-6.438518900000001,-68.2437385,7777
1302009,Norte,AM,Amazonas,Itacoatiara,Centro Amazonense,Itapiranga,-2.7461205,-58.025377,9312
1302108,Norte,AM,Amazonas,Japurá,Norte Amazonense,Japurá,-1.8808468,-66.9967657,1755
1302207,Norte,AM,Amazonas,Juruá,Sudoeste Amazonense,Juruá,-3.4746666,-66.06223349999999,15495
1302306,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Jutaí,-2.7471478,-66.7721255,13462
1302405,Norte,AM,Amazonas,Purus,Sul Amazonense,Lábrea,-7.261368300000001,-64.7924505,47685
1302504,Norte,AM,Amazonas,Manaus,Centro Amazonense,Manacapuru,-3.2996768,-60.6213528,99613
1302553,Norte,AM,Amazonas,Manaus,Centro Amazonense,Manaquiri,-3.4305885000000003,-60.4593078,33981
1302603,Norte,AM,Amazonas,Manaus,Centro Amazonense,Manaus,-3.1316333,-59.9825041,2255903
1302702,Norte,AM,Amazonas,Madeira,Sul Amazonense,Manicoré,-5.804618,-61.289483,57405
1302801,Norte,AM,Amazonas,Japurá,Norte Amazonense,Maraã,-1.8535579,-65.5897749,18298
1302900,Norte,AM,Amazonas,Parintins,Centro Amazonense,Maués,-3.3795798,-57.719607200000006,66159
1303007,Norte,AM,Amazonas,Parintins,Centro Amazonense,Nhamundá,-2.1921521,-56.7111308,21710
1303106,Norte,AM,Amazonas,Itacoatiara,Centro Amazonense,Nova Olinda do Norte,-3.8926889,-59.0953046,38665
1303205,Norte,AM,Amazonas,Rio Negro,Norte Amazonense,Novo Airão,-2.6260236,-60.9434406,20395
1303304,Norte,AM,Amazonas,Madeira,Sul Amazonense,Novo Aripuanã,-5.125929,-60.373179,26443
1303403,Norte,AM,Amazonas,Parintins,Centro Amazonense,Parintins,-2.6344567000000003,-56.731932400000005,116439
1303502,Norte,AM,Amazonas,Boca do Acre,Sul Amazonense,Pauini,-7.712221400000001,-66.9998441,19616
1303536,Norte,AM,Amazonas,Rio Preto da Eva,Centro Amazonense,Presidente Figueiredo,-2.0486359,-60.0236658,38095
1303569,Norte,AM,Amazonas,Rio Preto da Eva,Centro Amazonense,Rio Preto da Eva,-2.6990647,-59.7012494,34856
1303601,Norte,AM,Amazonas,Rio Negro,Norte Amazonense,Santa Isabel do Rio Negro,-0.4160389,-65.01530960000001,26566
1303700,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Santo Antônio do Içá,-3.095443,-67.946279,20889
1303809,Norte,AM,Amazonas,Rio Negro,Norte Amazonense,São Gabriel da Cachoeira,-0.1249714999999999,-67.0813855,47031
1303908,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,São Paulo de Olivença,-3.4650627,-68.94684620000001,40837
1303957,Norte,AM,Amazonas,Parintins,Centro Amazonense,São Sebastião do Uatumã,-2.5719341,-57.8703616,14678
1304005,Norte,AM,Amazonas,Itacoatiara,Centro Amazonense,Silves,-2.8372614,-58.2105199,9289
1304062,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Tabatinga,-4.2327349000000005,-69.92633719999999,68502
1304104,Norte,AM,Amazonas,Purus,Sul Amazonense,Tapauá,-5.623228299999999,-63.1879157,16876
1304203,Norte,AM,Amazonas,Tefé,Centro Amazonense,Tefé,-3.3485276,-64.7102278,59250
1304237,Norte,AM,Amazonas,Alto Solimões,Sudoeste Amazonense,Tonantins,-2.86261,-67.77354820000001,19038
1304260,Norte,AM,Amazonas,Tefé,Centro Amazonense,Uarini,-2.9827061,-65.1578615,13839
1304302,Norte,AM,Amazonas,Parintins,Centro Amazonense,Urucará,-2.537073,-57.7590254,16007
1304401,Norte,AM,Amazonas,Itacoatiara,Centro Amazonense,Urucurituba,-3.1304332,-58.1549157,24098
1400027,Norte,RR,Roraima,Boa Vista,Norte de Roraima,Amajari,3.6523869,-61.4194315,13561
1400050,Norte,RR,Roraima,Boa Vista,Norte de Roraima,Alto Alegre,2.98858,-61.30716700000001,15249
1400100,Norte,RR,Roraima,Boa Vista,Norte de Roraima,Boa Vista,2.8208478,-60.671958200000006,436591
1400159,Norte,RR,Roraima,Nordeste de Roraima,Norte de Roraima,Bonfim,3.3613818,-59.842724100000005,12701
1400175,Norte,RR,Roraima,Nordeste de Roraima,Norte de Roraima,Cantá,2.60994,-60.605827000000005,19257
1400209,Norte,RR,Roraima,Caracaraí,Sul de Roraima,Caracaraí,1.827598,-61.125389,22635
1400233,Norte,RR,Roraima,Sudeste de Roraima,Sul de Roraima,Caroebe,0.8812315000000001,-59.6932274,10595
1400282,Norte,RR,Roraima,Caracaraí,Sul de Roraima,Iracema,2.1664742,-61.0513048,12637
1400308,Norte,RR,Roraima,Caracaraí,Sul de Roraima,Mucajaí,2.4486084,-60.91999860000001,18482
1400407,Norte,RR,Roraima,Nordeste de Roraima,Norte de Roraima,Normandia,3.8792356,-59.62933670000001,11772
1400456,Norte,RR,Roraima,Boa Vista,Norte de Roraima,Pacaraima,4.4791253,-61.147101600000006,20108
1400472,Norte,RR,Roraima,Sudeste de Roraima,Sul de Roraima,Rorainópolis,0.9387308,-60.4236464,31387
1400506,Norte,RR,Roraima,Sudeste de Roraima,Sul de Roraima,São João da Baliza,0.951659,-59.913293,8492
1400605,Norte,RR,Roraima,Sudeste de Roraima,Sul de Roraima,São Luiz,1.0170607,-60.0371719,8232
1400704,Norte,RR,Roraima,Nordeste de Roraima,Norte de Roraima,Uiramutã,4.5953692,-60.15988620000001,11014
1500107,Norte,PA,Pará,Cametá,Nordeste Paraense,Abaetetuba,-1.721828,-48.878843,160439
1500131,Norte,PA,Pará,Paragominas,Sudeste Paraense,Abel Figueiredo,-4.953001,-48.3958485,7536
1500206,Norte,PA,Pará,Tomé-Açu,Nordeste Paraense,Acará,-1.961388,-48.1987043,55744
1500305,Norte,PA,Pará,Furos de Breves,Marajó,Afuá,-0.1535664,-50.3879223,39910
1500347,Norte,PA,Pará,Parauapebas,Sudeste Paraense,Água Azul do Norte,-6.8064885,-50.4849667,27797
1500404,Norte,PA,Pará,Santarém,Baixo Amazonas,Alenquer,-1.946229,-54.738355000000006,57390
1500503,Norte,PA,Pará,Almeirim,Baixo Amazonas,Almeirim,-1.5290377,-52.5788111,34044
1500602,Norte,PA,Pará,Altamira,Sudoeste Paraense,Altamira,-3.204065,-52.209961,117320
1500701,Norte,PA,Pará,Furos de Breves,Marajó,Anajás,-0.9878802,-49.9390114,30091
1500800,Norte,PA,Pará,Belém,Metropolitana de Belém,Ananindeua,-1.374035,-48.4016623,540410
1500859,Norte,PA,Pará,Altamira,Sudoeste Paraense,Anapu,-3.4668292000000003,-51.2057035,29312
1500909,Norte,PA,Pará,Bragantina,Nordeste Paraense,Augusto Corrêa,-1.0229335,-46.6404029,46937
1500958,Norte,PA,Pará,Guamá,Nordeste Paraense,Aurora do Pará,-2.1323199,-47.558436,32200
1501006,Norte,PA,Pará,Itaituba,Sudoeste Paraense,Aveiro,-3.6049239,-55.33107420000001,16421
1501105,Norte,PA,Pará,Portel,Marajó,Bagre,-1.8994498,-50.2103844,31967
1501204,Norte,PA,Pará,Cametá,Nordeste Paraense,Baião,-2.7903479,-49.6702845,49454
1501253,Norte,PA,Pará,São Félix do Xingu,Sudeste Paraense,Bannach,-7.350850500000001,-50.4064531,3239
1501303,Norte,PA,Pará,Belém,Metropolitana de Belém,Barcarena,-1.5107945,-48.6190679,129333
1501402,Norte,PA,Pará,Belém,Metropolitana de Belém,Belém,-1.45056,-48.4682453,1506420
1501451,Norte,PA,Pará,Santarém,Baixo Amazonas,Belterra,-2.636091,-54.937392,17944
1501501,Norte,PA,Pará,Belém,Metropolitana de Belém,Benevides,-1.3555577,-48.252235,64780
1501576,Norte,PA,Pará,Paragominas,Sudeste Paraense,Bom Jesus do Tocantins,-5.0471796,-48.5978362,17254
1501600,Norte,PA,Pará,Bragantina,Nordeste Paraense,Bonito,-1.3605722,-47.3049907,16769
1501709,Norte,PA,Pará,Bragantina,Nordeste Paraense,Bragança,-1.0573967,-46.7635406,130122
1501725,Norte,PA,Pará,Altamira,Sudoeste Paraense,Brasil Novo,-3.3055853,-52.539198,14883
1501758,Norte,PA,Pará,Marabá,Sudeste Paraense,Brejo Grande do Araguaia,-5.7011449,-48.4037308,7357
1501782,Norte,PA,Pará,Tucuruí,Sudeste Paraense,Breu Branco,-3.7785073,-49.5684795,68597
1501808,Norte,PA,Pará,Furos de Breves,Marajó,Breves,-1.68036,-50.479085,104280
1501907,Norte,PA,Pará,Castanhal,Metropolitana de Belém,Bujaru,-1.5169239,-48.0410699,29717
1501956,Norte,PA,Pará,Guamá,Nordeste Paraense,Cachoeira do Piriá,-1.7599443,-46.5446954,35307
1502004,Norte,PA,Pará,Arari,Marajó,Cachoeira do Arari,-1.0143572,-48.9621089,24355
1502103,Norte,PA,Pará,Cametá,Nordeste Paraense,Cametá,-2.2429490000000003,-49.497885,140814
1502152,Norte,PA,Pará,Parauapebas,Sudeste Paraense,Canaã dos Carajás,-6.5296837,-49.8516592,39103
1502202,Norte,PA,Pará,Bragantina,Nordeste Paraense,Capanema,-1.1933049999999998,-47.182868,69828
1502301,Norte,PA,Pará,Guamá,Nordeste Paraense,Capitão Poço,-1.7447162,-47.0638495,54545
1502400,Norte,PA,Pará,Castanhal,Metropolitana de Belém,Castanhal,-1.2927031,-47.9223903,205667
1502509,Norte,PA,Pará,Arari,Marajó,Chaves,-0.164154,-49.987006,24175
1502608,Norte,PA,Pará,Salgado,Nordeste Paraense,Colares,-0.936423,-48.280254,12175
1502707,Norte,PA,Pará,Conceição do Araguaia,Sudeste Paraense,Conceição do Araguaia,-8.2696905,-49.2676864,48115
1502756,Norte,PA,Pará,Tomé-Açu,Nordeste Paraense,Concórdia do Pará,-1.9924056,-47.9450474,34236
1502764,Norte,PA,Pará,São Félix do Xingu,Sudeste Paraense,Cumaru do Norte,-7.812266900000001,-50.7677675,14044
1502772,Norte,PA,Pará,Parauapebas,Sudeste Paraense,Curionópolis,-6.0990443,-49.6059039,17764
1502806,Norte,PA,Pará,Furos de Breves,Marajó,Curralinho,-1.8137876,-49.7980165,35530
1502855,Norte,PA,Pará,Santarém,Baixo Amazonas,Curuá,-1.887754,-55.116842000000005,14776
1502905,Norte,PA,Pará,Salgado,Nordeste Paraense,Curuçá,-0.7276792,-47.856568,41093
1502939,Norte,PA,Pará,Paragominas,Sudeste Paraense,Dom Eliseu,-4.2928111,-47.5559083,61206
1502954,Norte,PA,Pará,Parauapebas,Sudeste Paraense,Eldorado do Carajás,-6.1029246,-49.3572487,34069
1503002,Norte,PA,Pará,Óbidos,Baixo Amazonas,Faro,-1.1091625500000002,-57.800250715708856,6949
1503044,Norte,PA,Pará,Conceição do Araguaia,Sudeste Paraense,Floresta do Araguaia,-7.5597065,-49.7032829,20742
1503077,Norte,PA,Pará,Guamá,Nordeste Paraense,Garrafão do Norte,-1.9282256,-47.0513157,26155
1503093,Norte,PA,Pará,Paragominas,Sudeste Paraense,Goianésia do Pará,-3.8380998,-49.0977992,41678
1503101,Norte,PA,Pará,Portel,Marajó,Gurupá,-1.406325,-51.6427456,34127
1503200,Norte,PA,Pará,Bragantina,Nordeste Paraense,Igarapé-Açu,-1.128244,-47.6199021,39234
1503309,Norte,PA,Pará,Cametá,Nordeste Paraense,Igarapé-Miri,-1.9785213,-48.9634826,63367
1503408,Norte,PA,Pará,Castanhal,Metropolitana de Belém,Inhangapi,-1.4283738,-47.9108608,12009
1503457,Norte,PA,Pará,Guamá,Nordeste Paraense,Ipixuna do Pará,-2.5592139,-47.4965462,67170
1503507,Norte,PA,Pará,Guamá,Nordeste Paraense,Irituia,-1.7709543,-47.4399687,32639
1503606,Norte,PA,Pará,Itaituba,Sudoeste Paraense,Itaituba,-4.2625218,-55.9878139,101541
1503705,Norte,PA,Pará,Tucuruí,Sudeste Paraense,Itupiranga,-5.1337224,-49.33219879999999,53439
1503754,Norte,PA,Pará,Itaituba,Sudoeste Paraense,Jacareacanga,-6.219651799999999,-57.758625,6952
1503804,Norte,PA,Pará,Tucuruí,Sudeste Paraense,Jacundá,-4.446173,-49.115272,60517
1503903,Norte,PA,Pará,Óbidos,Baixo Amazonas,Juruti,-2.1571381,-56.09009770000001,59961
1504000,Norte,PA,Pará,Cametá,Nordeste Paraense,Limoeiro do Ajuru,-1.88664405,-49.495701348909165,29623
1504059,Norte,PA,Pará,Guamá,Nordeste Paraense,Mãe do Rio,-2.0458692,-47.5522076,30389
1504109,Norte,PA,Pará,Salgado,Nordeste Paraense,Magalhães Barata,-0.8346167999999999,-47.62963129677816,8598
1504208,Norte,PA,Pará,Marabá,Sudeste Paraense,Marabá,-5.3462821,-49.1007401,287664
1504307,Norte,PA,Pará,Salgado,Nordeste Paraense,Maracanã,-0.7666582,-47.4537818,29559
1504406,Norte,PA,Pará,Salgado,Nordeste Paraense,Marapanim,-0.7134493000000001,-47.6985381,28563
1504422,Norte,PA,Pará,Belém,Metropolitana de Belém,Marituba,-1.3595306,-48.3361504,135812
1504455,Norte,PA,Pará,Altamira,Sudoeste Paraense,Medicilândia,-3.4438388,-52.888923600000005,32347
1504505,Norte,PA,Pará,Portel,Marajó,Melgaço,-1.803202,-50.714927,28121
1504604,Norte,PA,Pará,Cametá,Nordeste Paraense,Mocajuba,-2.583098,-49.504224,31917
1504703,Norte,PA,Pará,Tomé-Açu,Nordeste Paraense,Moju,-1.889926,-48.766765,84251
1504752,Norte,PA,Pará,Santarém,Baixo Amazonas,Mojuí dos Campos,-2.682167,-54.642717000000005,16282
1504802,Norte,PA,Pará,Santarém,Baixo Amazonas,Monte Alegre,-1.9989108,-54.0727694,58289
1504901,Norte,PA,Pará,Arari,Marajó,Muaná,-1.5317443000000002,-49.2223565,41454
1504950,Norte,PA,Pará,Guamá,Nordeste Paraense,Nova Esperança do Piriá,-2.2663093,-46.96616220000001,21519
1504976,Norte,PA,Pará,Tucuruí,Sudeste Paraense,Nova Ipixuna,-4.916221,-49.082194,17027
1505007,Norte,PA,Pará,Bragantina,Nordeste Paraense,Nova Timboteua,-1.2052428,-47.3935775,15646
1505031,Norte,PA,Pará,Itaituba,Sudoeste Paraense,Novo Progresso,-7.037488400000001,-55.4185904,25769
1505064,Norte,PA,Pará,Tucuruí,Sudeste Paraense,Novo Repartimento,-4.2519172,-49.952425700000006,78488
1505106,Norte,PA,Pará,Óbidos,Baixo Amazonas,Óbidos,-1.901072,-55.520812,52473
1505205,Norte,PA,Pará,Cametá,Nordeste Paraense,Oeiras do Pará,-2.0040813,-49.8596065,33182
1505304,Norte,PA,Pará,Óbidos,Baixo Amazonas,Oriximiná,-1.7669992,-55.868285,74921
1505403,Norte,PA,Pará,Guamá,Nordeste Paraense,Ourém,-1.5489964,-47.1174572,18079
1505437,Norte,PA,Pará,São Félix do Xingu,Sudeste Paraense,Ourilândia do Norte,-6.748975,-51.0788476,33831
1505486,Norte,PA,Pará,Altamira,Sudoeste Paraense,Pacajá,-3.8354195,-50.6399248,49110
1505494,Norte,PA,Pará,Marabá,Sudeste Paraense,Palestina do Pará,-5.742393799999999,-48.3185533,7575
1505502,Norte,PA,Pará,Paragominas,Sudeste Paraense,Paragominas,-2.9956400000000003,-47.3548942,115838
1505536,Norte,PA,Pará,Parauapebas,Sudeste Paraense,Parauapebas,-6.0696846,-49.8903283,218787
